,Journal,Publication_Date,URL_link,Ford_count,Wright_count,Wolszczan_count,Gilliland_count,Luhman_count,Sigurdsson_count,Kasting_count,,,
268,The Astrophysical Journal,2008-03-00,2008ApJ...675..784J,0,1,0,0,0,0,0,,,
282,The Astrophysical Journal,2009-09-00,2009ApJ...702..989V,0,1,0,0,0,0,0,,,
298,The Astrophysical Journal,2009-10-00,2009ApJ...703.1545F,0,1,0,0,0,0,0,,,
301,The Astrophysical Journal,2009-10-00,2009ApJ...703.1545F,0,1,0,0,0,0,0,,,
303,The Astrophysical Journal,2009-10-00,2009ApJ...703.1545F,0,1,0,0,0,0,0,,,
311,Publications of the Astronomical Society of the Pacific,2009-06-00,2009PASP..121..613P,0,1,0,0,0,0,0,,,
315,The Astrophysical Journal,2009-05-00,2009ApJ...696...75H,0,1,0,0,0,0,0,,,
322,The Astrophysical Journal,2009-10-00,2009ApJ...703.1545F,0,1,0,0,0,0,0,,,
330,The Astrophysical Journal,2009-09-00,2009ApJ...702..989V,0,1,0,0,0,0,0,,,
331,Publications of the Astronomical Society of the Pacific,2009-06-00,2009PASP..121..613P,0,1,0,0,0,0,0,,,
334,The Astrophysical Journal,2009-10-00,2009ApJ...703.1545F,0,1,0,0,0,0,0,,,
346,Publications of the Astronomical Society of the Pacific,2010-05-00,2010PASP..122..701J,0,1,0,0,0,0,0,,,
354,Publications of the Astronomical Society of the Pacific,2010-05-00,2010PASP..122..701J,0,1,0,0,0,0,0,,,
359,Publications of the Astronomical Society of the Pacific,2010-05-00,2010PASP..122..701J,0,1,0,0,0,0,0,,,
363,The Astrophysical Journal,2010-10-00,2010ApJ...721.1467H,0,1,0,0,0,0,0,,,
370,Publications of the Astronomical Society of the Pacific,2010-05-00,2010PASP..122..701J,0,1,0,0,0,0,0,,,
371,The Astrophysical Journal,2010-10-00,2010ApJ...721.1467H,0,1,0,0,0,0,0,,,
373,Publications of the Astronomical Society of the Pacific,2010-05-00,2010PASP..122..701J,0,1,0,0,0,0,0,,,
386,The Astrophysical Journal,2010-10-00,2010ApJ...721.1467H,0,1,0,0,0,0,0,,,
388,The Astrophysical Journal,2010-10-00,2010ApJ...721.1467H,0,1,0,0,0,0,0,,,
390,Publications of the Astronomical Society of the Pacific,2010-02-00,2010PASP..122..149J,0,1,0,0,0,0,0,,,
402,Publications of the Astronomical Society of the Pacific,2010-05-00,2010PASP..122..701J,0,1,0,0,0,0,0,,,
413,Publications of the Astronomical Society of the Pacific,2010-05-00,2010PASP..122..701J,0,1,0,0,0,0,0,,,
428,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
431,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
439,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
446,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
447,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
452,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
459,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
462,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
499,The Astrophysical Journal,2011-03-00,2011ApJ...730...10H,0,1,0,0,0,0,0,,,
503,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
510,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
518,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
519,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
522,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
526,The Astrophysical Journal,2011-01-00,2011ApJ...726...73H,0,1,0,0,0,0,0,,,
551,The Astrophysical Journal,2011-03-00,2011ApJ...730...10H,0,1,0,0,0,0,0,,,
552,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
557,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
571,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
572,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
581,The Astrophysical Journal Supplement Series,2011-12-00,2011ApJS..197...26J,0,1,0,0,0,0,0,,,
614,The Astrophysical Journal,2012-01-00,2012ApJ...745...21F,0,1,0,0,0,0,0,,,
651,The Astrophysical Journal,2012-01-00,2012ApJ...744....4G,0,1,0,0,0,0,0,,,
658,The Astrophysical Journal,2012-01-00,2012ApJ...745...21F,0,1,0,0,0,0,0,,,
671,The Astrophysical Journal,2012-01-00,2012ApJ...745...21F,0,1,0,0,0,0,0,,,
672,The Astrophysical Journal,2012-01-00,2012ApJ...744....4G,0,1,0,0,0,0,0,,,
694,The Astrophysical Journal,2012-01-00,2012ApJ...744....4G,0,1,0,0,0,0,0,,,
160,The Astrophysical Journal,2006-08-00,2006ApJ...647..600J,1,0,0,0,0,0,0,,,
175,The Astrophysical Journal,2006-08-00,2006ApJ...647..600J,1,0,0,0,0,0,0,,,
178,The Astrophysical Journal,2006-09-00,2006ApJ...648..683G,1,0,0,0,0,0,0,,,
190,The Astrophysical Journal,2006-08-00,2006ApJ...647..600J,1,0,0,0,0,0,0,,,
280,The Astrophysical Journal,2009-03-00,2009ApJ...693.1084W,1,0,0,0,0,0,0,,,
332,The Astrophysical Journal,2009-07-00,2009ApJ...699L..97W,1,0,0,0,0,0,0,,,
350,Science,2010-10-00,2010Sci...330...51H,1,0,0,0,0,0,0,,,
384,Science,2010-10-00,2010Sci...330...51H,1,0,0,0,0,0,0,,,
385,Science,2010-10-00,2010Sci...330...51H,1,0,0,0,0,0,0,,,
429,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
430,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
433,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
434,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
435,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
436,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
437,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
438,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
441,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
443,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
444,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
445,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
448,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
449,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
450,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
451,Nature,2011-02-00,2011Natur.470...53L,1,0,0,0,0,0,0,,,
453,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
454,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
455,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
456,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
460,The Astronomical Journal,2011-01-00,2011AJ....141...16J,1,0,0,0,0,0,0,,,
461,Nature,2011-02-00,2011Natur.470...53L,1,0,0,0,0,0,0,,,
466,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
467,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
470,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
471,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
472,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
473,Nature,2011-02-00,2011Natur.470...53L,1,0,0,0,0,0,0,,,
482,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
483,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
484,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
486,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
488,The Astronomical Journal,2011-01-00,2011AJ....141...16J,1,0,0,0,0,0,0,,,
490,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
491,The Astrophysical Journal,2011-03-00,2011ApJ...729...27B,1,0,0,0,0,0,0,,,
493,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
494,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
497,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
498,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
500,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
507,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
508,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
509,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
511,The Astronomical Journal,2011-01-00,2011AJ....141...16J,1,0,0,0,0,0,0,,,
512,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
515,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
516,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
521,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
524,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
525,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
528,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
529,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
531,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
532,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
533,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
534,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
535,Nature,2011-02-00,2011Natur.470...53L,1,0,0,0,0,0,0,,,
536,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
540,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
541,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
547,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
548,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
549,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
559,The Astronomical Journal,2011-01-00,2011AJ....141...16J,1,0,0,0,0,0,0,,,
562,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
564,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
565,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
566,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
567,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
570,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
574,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
575,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
576,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
580,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
582,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
584,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
585,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
586,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
587,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
589,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
590,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
592,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
594,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
595,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
597,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
599,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
601,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
602,Nature,2011-02-00,2011Natur.470...53L,1,0,0,0,0,0,0,,,
606,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
607,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
608,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,0,0,0,,,
609,Nature,2011-02-00,2011Natur.470...53L,1,0,0,0,0,0,0,,,
611,The Astrophysical Journal,2011-03-00,2011ApJ...729...27B,1,0,0,0,0,0,0,,,
612,Science,2012-09-00,2012Sci...337.1511O,1,0,0,0,0,0,0,,,
618,Science,2012-08-00,2012Sci...337..556C,1,0,0,0,0,0,0,,,
621,Science,2012-09-00,2012Sci...337.1511O,1,0,0,0,0,0,0,,,
633,Nature,2012-01-00,2012Natur.481..475W,1,0,0,0,0,0,0,,,
639,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,1,0,0,0,0,0,0,,,
664,The Astrophysical Journal,2012-10-00,2012ApJ...758...87O,1,0,0,0,0,0,0,,,
675,The Astrophysical Journal,2012-12-00,2012ApJ...761...46W,1,0,0,0,0,0,0,,,
693,The Astrophysical Journal,2012-05-00,2012ApJ...750..114F,1,0,0,0,0,0,0,,,
695,The Astrophysical Journal Supplement Series,2013-02-00,1202.5852,1,0,0,0,0,0,0,,,
696,Nature,2012-01-00,2012Natur.481..475W,1,0,0,0,0,0,0,,,
700,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,1,0,0,0,0,0,0,,,
703,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,1,0,0,0,0,0,0,,,
709,Science,2013-05-00,2013Sci...340..587B,1,0,0,0,0,0,0,,,
711,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,1,0,0,0,0,0,0,,,
719,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,1,0,0,0,0,0,0,,,
722,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,1,0,0,0,0,0,0,,,
729,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,1,0,0,0,0,0,0,,,
742,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,1,0,0,0,0,0,0,,,
744,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,1,0,0,0,0,0,0,,,
745,The Astrophysical Journal,2013-03-00,2013ApJ...766...40G,1,0,0,0,0,0,0,,,
746,Science,2013-05-00,2013Sci...340..587B,1,0,0,0,0,0,0,,,
758,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,1,0,0,0,0,0,0,,,
762,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,1,0,0,0,0,0,0,,,
765,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,1,0,0,0,0,0,0,,,
0,The Astrophysical Journal,2014-03-00,2014arXiv1402.6534R,0,0,0,0,0,0,0,,,
1,The Astrophysical Journal,1988-08-00,1988ApJ...331..902C,0,0,0,0,0,0,0,,,
2,Nature,1989-05-00,1989Natur.339...38L,0,0,0,0,0,0,0,,,
3,Nature,1992-01-00,1992Natur.355..145W,0,0,0,0,0,0,0,,,
4,Nature,1992-01-00,1992Natur.355..145W,0,0,0,0,0,0,0,,,
5,The Astrophysical Journal,1993-08-00,1993ApJ...413..339H,0,0,0,0,0,0,0,,,
6,Science,1994-04-00,1994Sci...264..538W,0,0,0,0,0,0,0,,,
7,Nature,1995-11-00,1995Natur.378..355M,0,0,0,0,0,0,0,,,
8,The Astrophysical Journal,1996-06-00,1996ApJ...464L.153B,0,0,0,0,0,0,0,,,
9,The Astrophysical Journal,1996-06-00,1996ApJ...464L.147M,0,0,0,0,0,0,0,,,
10,The Astrophysical Journal,1997-07-00,1997ApJ...483L.111N,0,0,0,0,0,0,0,,,
11,The Astrophysical Journal,1997-01-00,1997ApJ...474L.115B,0,0,0,0,0,0,0,,,
12,The Astrophysical Journal,1997-07-00,1997ApJ...483..457C,0,0,0,0,0,0,0,,,
13,The Astrophysical Journal,1997-01-00,1997ApJ...474L.115B,0,0,0,0,0,0,0,,,
14,The Astrophysical Journal,1997-01-00,1997ApJ...474L.115B,0,0,0,0,0,0,0,,,
15,Astronomy and Astrophysics,1998-10-00,1998A%26A...338L..67D,0,0,0,0,0,0,0,,,
16,Publications of the Astronomical Society of the Pacific,1998-12-00,1998PASP..110.1389B,0,0,0,0,0,0,0,,,
17,The Astrophysical Journal,1999-12-00,1999ApJ...526..916B,0,0,0,0,0,0,0,,,
18,The Astrophysical Journal,1999-07-00,1999ApJ...520..239M,0,0,0,0,0,0,0,,,
19,The Astrophysical Journal,1999-07-00,1999ApJ...520..239M,0,0,0,0,0,0,0,,,
20,Publications of the Astronomical Society of the Pacific,1999-01-00,1999PASP..111...50F,0,0,0,0,0,0,0,,,
21,Publications of the Astronomical Society of the Pacific,1999-01-00,1999PASP..111...50F,0,0,0,0,0,0,0,,,
22,The Astrophysical Journal,1999-12-00,1999ApJ...526..916B,0,0,0,0,0,0,0,,,
23,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0,,,
24,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0,,,
25,Astronomy and Astrophysics,2000-01-00,2000A%26A...353L..33K,0,0,0,0,0,0,0,,,
26,The Astrophysical Journal,2000-12-00,2000ApJ...545..504B,0,0,0,0,0,0,0,,,
27,Astronomy and Astrophysics,2000-04-00,2000A%26A...356..590U,0,0,0,0,0,0,0,,,
28,The Astrophysical Journal,2000-04-00,2000ApJ...533L.147K,0,0,0,0,0,0,0,,,
29,The Astrophysical Journal,2000-06-00,2000ApJ...536L..43M,0,0,0,0,0,0,0,,,
30,Astronomy and Astrophysics,2000-02-00,2000A%26A...354...99Q,0,0,0,0,0,0,0,,,
31,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0,,,
32,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0,,,
33,The Astrophysical Journal,2000-06-00,2000ApJ...536L..43M,0,0,0,0,0,0,0,,,
34,The Astrophysical Journal,2000-12-00,2000ApJ...545..504B,0,0,0,0,0,0,0,,,
35,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0,,,
36,Astronomy and Astrophysics,2000-04-00,2000A%26A...356..599S,0,0,0,0,0,0,0,,,
37,Astronomy and Astrophysics,2000-04-00,2000A%26A...356..590U,0,0,0,0,0,0,0,,,
38,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0,,,
39,The Astrophysical Journal,2000-12-00,2000ApJ...544L.145H,0,0,0,0,0,0,0,,,
40,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0,,,
41,The Astrophysical Journal,2000-01-00,2000ApJ...529L..41H,0,0,0,0,0,0,0,,,
42,The Astrophysical Journal,2001-07-00,2001ApJ...555..410B,0,0,0,0,0,0,0,,,
43,The Astrophysical Journal,2001-04-00,2001ApJ...551.1107F,0,0,0,0,0,0,0,,,
44,The Astrophysical Journal,2001-07-00,2001ApJ...555..418M,0,0,0,0,0,0,0,,,
45,Astronomy and Astrophysics,2001-08-00,2001A%26A...375..205N,0,0,0,0,0,0,0,,,
46,The Astrophysical Journal,2001-04-00,2001ApJ...551.1107F,0,0,0,0,0,0,0,,,
